,x
0,-0.25
1,-0.25
2,-0.25
3,-0.25
4,-0.25
5,-0.25
6,-0.25
7,-0.25
8,-0.25
9,-0.25
10,-0.25
11,-0.25
12,-0.25
13,-0.25
14,-0.25
15,-0.25
16,-0.25
17,-0.25
18,-0.25
19,-0.25
20,-0.25
21,-0.25
22,-0.25
23,-0.25
24,-0.25
25,-0.25
26,-0.25
27,-0.25
28,-0.25
29,-0.25
30,-0.25
31,-0.25
32,-0.25
33,-0.25
34,-0.25
35,-0.25
36,-0.25
37,-0.25
38,-0.25
39,-0.25
40,-0.25
41,-0.25
42,-0.25
43,-0.25
44,-0.25
45,-0.25
46,-0.25
47,-0.25
48,-0.25
49,-0.25
50,-0.25
51,-0.25
52,-0.25
53,-0.25
54,-0.25
55,-0.25
56,-0.25
57,-0.25
58,-0.25
59,-0.25
60,-0.25
61,-0.25
62,-0.25
63,-0.25
64,-0.25
65,-0.25
66,-0.25
67,-0.25
68,-0.25
69,-0.25
70,-0.25
71,-0.25
72,-0.25
73,-0.25
74,-0.25
75,-0.25
76,-0.25
77,-0.25
78,-0.25
79,-0.25
80,-0.25
81,-0.25
82,-0.25
83,-0.25
84,-0.25
85,-0.25
86,-0.25
87,-0.25
88,-0.25
89,-0.25
90,-0.25
91,-0.25
92,-0.25
93,-0.25
94,-0.25
95,-0.25
96,-0.25
97,-0.25
98,-0.25
99,-0.25
100,-0.25
101,-0.25
102,-0.25
103,-0.25
104,-0.25
105,-0.25
106,-0.25
107,-0.25
108,-0.25
109,-0.25
110,-0.25
111,-0.25
112,-0.25
113,-0.25
114,-0.25
115,-0.25
116,-0.25
117,-0.25
118,-0.25
119,-0.25
120,-0.25
121,-0.25
122,-0.25
123,-0.25
124,-0.25
125,-0.25
126,-0.25
127,-0.25
128,-0.25
129,-0.25
130,-0.25
131,-0.25
132,-0.25
133,-0.25
134,-0.25
135,-0.25
136,-0.25
137,-0.25
138,-0.25
139,-0.25
140,-0.25
141,-0.25
142,-0.25
143,-0.25
144,-0.25
145,-0.25
146,-0.25
147,-0.25
148,-0.25
149,-0.25
150,-0.25
151,-0.25
152,-0.25
153,-0.25
154,-0.25
155,-0.25
156,-0.25
157,-0.25
158,-0.25
159,-0.25
160,-0.25
161,-0.25
162,-0.25
163,-0.25
164,-0.25
165,-0.25
166,-0.25
167,-0.25
168,-0.25
169,-0.25
170,-0.25
171,-0.25
172,-0.25
173,-0.25
174,-0.25
175,-0.25
176,-0.25
177,-0.25
178,-0.25
179,-0.25
180,-0.25
181,-0.25
182,-0.25
183,-0.25
184,-0.25
185,-0.25
186,-0.25
187,-0.25
188,-0.25
189,-0.25
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,-2.56
445,-0.01
446,-0.01
447,-0.01
448,-0.01
449,-0.02
450,-0.02
451,-0.02
452,-0.02
453,-0.02
454,-0.02
455,-0.02
456,-0.02
457,-0.02
458,-0.02
459,-0.02
460,-0.02
461,-0.02
462,-0.02
463,-0.02
464,-0.02
465,-0.01
466,-0.01
467,-0.01
468,-0.01
469,-0.01
470,-0.01
471,-0.01
472,-0.01
473,-0.01
474,-0.01
475,-0.01
476,-0.01
477,-0.01
478,-0.01
479,-0.01
480,-0.01
481,-0.01
482,-0.01
483,-0.01
484,-0.01
485,-0.02
486,-0.02
487,-0.02
488,-0.02
489,-0.02
490,-0.02
491,-0.02
492,-0.02
493,-0.02
494,-0.02
495,-0.02
496,-0.02
497,-0.02
498,-0.02
499,-0.02
500,-0.02
501,-0.02
502,-0.02
503,-0.03
504,-0.03
505,-0.03
506,-0.03
507,-0.04
508,-0.04
509,-0.05
510,-0.05
511,-0.06
512,-0.06
513,-0.06
514,-0.06
515,-0.06
516,-0.07
517,-0.07
518,-0.07
519,-0.07
520,-0.07
521,-0.07
522,-0.07
523,-0.07
524,-0.07
525,-0.07
526,-0.08
527,-0.08
528,-0.08
529,-0.08
530,-0.08
531,-0.08
532,-0.08
533,-0.08
534,-0.08
535,-0.08
536,-0.08
537,-0.08
538,-0.08
539,-0.08
540,-0.08
541,-0.08
542,-0.08
543,-0.08
544,-0.08
545,-0.08
546,-0.08
547,-0.08
548,-0.08
549,-0.08
550,-0.08
551,-0.08
552,-0.08
553,-0.08
554,-0.08
555,-0.08
556,-0.08
557,-0.08
558,-0.08
559,-0.08
560,-0.08
561,-0.08
562,-0.08
563,-0.08
564,-0.08
565,-0.08
566,-0.08
567,-0.08
568,-0.08
569,-0.08
570,-0.09
571,-0.09
572,-0.09
573,-0.09
574,-0.09
575,-0.09
576,-0.09
577,-0.09
578,-0.09
579,-0.09
580,-0.09
581,-0.09
582,-0.09
583,-0.09
584,-0.09
585,-0.09
586,-0.09
587,-0.09
588,-0.09
589,-0.09
590,-0.09
591,-0.09
592,-0.09
593,-0.09
594,-0.09
595,-0.09
596,-0.09
597,-0.09
598,-0.09
599,-0.09
600,-0.09
601,-0.09
602,-0.09
603,-0.09
604,-0.09
605,-0.08
606,-0.08
607,-0.08
608,-0.08
609,-0.08
610,-0.08
611,-0.08
612,-0.08
613,-0.08
614,-0.08
615,-0.08
616,-0.09
617,-0.09
618,-0.09
619,-0.09
620,-0.09
621,-0.09
622,-0.09
623,-0.09
624,-0.09
625,-0.09
626,-0.09
627,-0.09
628,-0.09
629,-0.09
630,-0.09
631,-0.09
632,-0.09
633,-0.09
634,-0.09
635,-0.09
636,-0.09
637,-0.09
638,-0.09
639,-0.09
640,-0.09
641,-0.09
642,-0.09
643,-0.09
644,-0.09
645,-0.09
646,-0.09
647,-0.09
648,-0.09
649,-0.09
650,-0.09
651,-0.08
652,-0.08
653,-0.08
654,-0.08
655,-0.08
656,-0.08
657,-0.09
658,-0.09
659,-0.09
660,-0.09
661,-0.09
662,-0.09
663,-0.09
664,-0.08
665,-0.08
666,-0.08
667,-0.08
668,-0.08
669,-0.09
670,-0.09
671,-0.09
672,-0.09
673,-0.09
674,-0.09
675,-0.09
676,-0.09
677,-0.09
678,-0.09
679,-0.09
680,-0.09
681,-0.09
682,-0.09
683,-0.09
684,-0.09
685,-0.09
686,-0.09
687,-0.09
688,-0.09
689,-0.09
690,-0.09
691,-0.09
692,-0.09
693,-0.09
694,-0.09
695,-0.09
696,-0.09
697,-0.09
698,-0.09
699,-0.09
700,-0.09
701,-0.09
702,-0.09
703,-0.09
704,-0.09
705,-0.09
706,-0.09
707,-0.09
708,-0.09
709,-0.09
710,-0.09
711,-0.09
712,-0.09
713,-0.09
714,-0.09
715,-0.09
716,-0.09
717,-0.09
718,-0.09
719,-0.09
720,-0.09
721,-0.09
722,-0.09
723,-0.09
724,-0.09
725,-0.09
726,-0.09
727,-0.09
728,-0.09
729,-0.09
730,-0.09
731,-0.09
732,-0.09
733,-0.09
734,-0.09
735,-0.09
736,-0.09
737,-0.09
738,-0.09
739,-0.09
740,-0.09
741,-0.09
742,-0.09
743,-0.09
744,-0.09
745,-0.09
746,-0.09
747,-0.09
748,-0.09
749,-0.09
750,-0.09
751,-0.09
752,-0.09
753,-0.09
754,-0.09
755,-0.09
756,-0.09
757,-0.09
758,-0.09
759,-0.09
760,-0.09
761,-0.09
762,-0.09
763,-0.09
764,-0.09
765,-0.09
766,-0.09
767,-0.09
768,-0.09
769,-0.09
770,-0.09
771,-0.09
772,-0.09
773,-0.09
774,-0.09
775,-0.09
776,-0.09
777,-0.09
778,-0.09
779,-0.09
780,-0.09
781,-0.09
782,-0.09
783,-0.09
784,-0.09
785,-0.09
786,-0.09
787,-0.09
788,-0.09
789,-0.09
790,-0.09
791,-0.09
792,-0.09
793,-0.09
794,-0.09
795,-0.09
796,-0.09
797,-0.09
798,-0.09
799,-0.09
800,-0.09
801,-0.09
802,-0.09
803,-0.08
804,-0.08
805,-0.08
806,-0.08
807,-0.08
808,-0.08
809,-0.08
810,-0.08
811,-0.08
812,-0.08
813,-0.08
814,-0.08
815,-0.08
816,-0.08
817,-0.08
818,-0.08
819,-0.08
820,-0.08
821,-0.08
822,-0.08
823,-0.09
824,-0.09
825,-0.09
826,-0.09
827,-0.09
828,-0.09
829,-0.09
830,-0.09
831,-0.09
832,-0.09
833,-0.09
834,-0.09
835,-0.09
836,-0.09
837,-0.09
838,-0.09
839,-0.09
840,-0.09
841,-0.09
842,-0.09
843,-0.09
844,-0.09
845,-0.09
846,-0.09
847,-0.09
848,-0.09
849,-0.09
850,-0.09
851,-0.09
852,-0.09
853,-0.09
854,-0.09
855,-0.09
856,-0.09
857,-0.09
858,-0.09
859,-0.09
860,-0.09
861,-0.09
862,-0.09
863,-0.1
864,-0.1
865,-0.1
866,-0.1
867,-0.11
868,-0.11
869,-0.11
870,-0.11
871,-0.11
872,-0.11
873,-0.11
874,-0.11
875,-0.11
876,-0.11
877,-0.11
878,-0.11
879,-0.11
880,-0.11
881,-0.11
882,-0.11
883,-0.11
884,-0.11
885,-0.11
886,-0.11
887,-0.11
888,-0.11
889,-0.11
890,-0.11
891,-0.11
892,-0.11
893,-0.11
894,-0.11
895,-0.11
896,-0.11
897,-0.11
898,-0.11
899,-0.11
900,-0.11
901,-0.11
902,-0.11
903,-0.11
904,-0.11
905,-0.11
906,-0.11
907,-0.11
908,-0.1
909,-0.1
910,-0.1
911,-0.1
912,-0.1
913,-0.1
914,-0.1
915,-0.1
916,-0.1
917,-0.1
918,-0.1
919,-0.1
920,-0.1
921,-0.1
922,-0.1
923,-0.1
924,-0.1
925,-0.1
926,-0.11
927,-0.11
928,-0.11
929,-0.1
930,-0.1
931,-0.1
932,-0.1
933,-0.1
934,-0.1
935,-0.1
936,-0.1
937,-0.1
938,-0.1
939,-0.1
940,-0.1
941,-0.1
942,-0.1
943,-0.1
944,-0.1
945,-0.1
946,-0.1
947,-0.1
948,-0.1
949,-0.1
950,-0.1
951,-0.1
952,-0.1
953,-0.1
954,-0.1
955,-0.1
956,-0.1
957,-0.1
958,-0.1
959,-0.1
960,-0.1
961,-0.1
962,-0.1
963,-0.1
964,-0.1
965,-0.1
966,-0.1
967,-0.1
968,-0.1
969,-0.1
970,-0.1
971,-0.1
972,-0.1
973,-0.1
974,-0.1
975,-0.1
976,-0.1
977,-0.1
978,-0.1
979,-0.11
980,-0.11
981,-0.11
982,-0.11
983,-0.11
984,-0.11
985,-0.11
986,-0.11
987,-0.11
988,-0.11
989,-0.11
990,-0.11
991,-0.11
992,-0.11
993,-0.11
994,-0.11
995,-0.11
996,-0.11
997,-0.1
998,-0.1
999,-0.1
1000,-0.1
1001,-0.1
1002,-0.1
1003,-0.1
1004,-0.11
1005,-0.11
1006,-0.11
1007,-0.11
1008,-0.11
1009,-0.11
1010,-0.11
1011,-0.11
1012,-0.11
1013,-0.11
1014,-0.11
1015,-0.11
1016,-0.11
1017,-0.11
1018,-0.11
1019,-0.11
1020,-0.11
1021,-0.11
1022,-0.11
1023,-0.11
1024,-0.11
1025,-0.11
1026,-0.11
1027,-0.11
1028,-0.11
1029,-0.11
1030,-0.11
1031,-0.11
1032,-0.11
1033,-0.11
1034,-0.11
1035,-0.11
1036,-0.11
1037,-0.11
1038,-0.11
1039,-0.11
1040,-0.11
1041,-0.11
1042,-0.11
1043,-0.11
1044,-0.11
1045,-0.11
1046,-0.11
1047,-0.11
1048,-0.11
1049,-0.11
1050,-0.11
1051,-0.11
1052,-0.11
1053,-0.11
1054,-0.11
1055,-0.11
1056,-0.11
1057,-0.11
1058,-0.11
1059,-0.11
1060,-0.11
1061,-0.11
1062,-0.11
1063,-0.11
1064,-0.11
1065,-0.11
1066,-0.11
1067,-0.11
1068,-0.11
1069,-0.11
1070,-0.11
1071,-0.11
1072,-0.11
1073,-0.11
1074,-0.11
1075,-0.11
1076,-0.11
1077,-0.11
1078,-0.11
1079,-0.11
1080,-0.11
1081,-0.11
1082,-0.11
1083,-0.11
1084,-0.11
1085,-0.11
1086,-0.11
1087,-0.11
1088,-0.11
1089,-0.11
1090,-0.11
1091,-0.11
1092,-0.11
1093,-0.11
1094,-0.11
1095,-0.11
1096,-0.11
1097,-0.11
1098,-0.11
1099,-0.11
1100,-0.11
1101,-0.11
1102,-0.11
1103,-0.11
1104,-0.11
1105,-0.11
1106,-0.11
1107,-0.11
1108,-0.11
1109,-0.11
1110,-0.11
1111,-0.11
1112,-0.11
1113,-0.11
1114,-0.11
1115,-0.11
1116,-0.11
1117,-0.11
1118,-0.11
1119,-0.11
1120,-0.11
1121,-0.11
1122,-0.11
1123,-0.11
1124,-0.11
1125,-0.11
1126,-0.11
1127,-0.11
1128,-0.11
1129,-0.11
1130,-0.11
1131,-0.11
1132,-0.11
1133,-0.11
1134,-0.11
1135,-0.11
1136,-0.11
1137,-0.11
1138,-0.11
1139,-0.11
1140,-0.11
1141,-0.11
1142,-0.11
1143,-0.11
1144,-0.11
1145,-0.11
1146,-0.11
1147,-0.11
1148,-0.11
1149,-0.11
1150,-0.11
1151,-0.11
1152,-0.11
1153,-0.11
1154,-0.11
1155,-0.11
1156,-0.11
1157,-0.11
1158,-0.11
1159,-0.11
1160,-0.11
1161,-0.11
1162,-0.11
1163,-0.11
1164,-0.11
1165,-0.11
1166,-0.11
1167,-0.11
1168,-0.11
1169,-0.11
1170,-0.11
1171,-0.11
1172,-0.11
1173,-0.11
1174,-0.11
1175,-0.11
1176,-0.11
1177,-0.11
1178,-0.11
1179,-0.11
1180,-0.11
1181,-0.11
1182,-0.11
1183,-0.11
1184,-0.11
1185,-0.11
1186,-0.11
1187,-0.11
1188,-0.11
1189,-0.11
1190,-0.11
1191,-0.11
1192,-0.11
1193,-0.11
1194,-0.11
1195,-0.11
1196,-0.11
1197,-0.11
1198,-0.11
1199,-0.11
1200,-0.11
1201,-0.11
1202,-0.11
1203,-0.11
1204,-0.11
1205,-0.11
1206,-0.11
1207,-0.11
1208,-0.11
1209,-0.11
1210,-0.11
1211,-0.11
1212,-0.11
1213,-0.11
1214,-0.11
1215,-0.11
1216,-0.11
1217,-0.11
1218,-0.11
1219,-0.11
1220,-0.11
1221,-0.11
1222,-0.11
1223,-0.11
1224,-0.11
1225,-0.11
1226,-0.11
1227,-0.11
1228,-0.11
1229,-0.11
1230,-0.11
1231,-0.11
1232,-0.11
1233,-0.11
1234,-0.11
1235,-0.11
1236,-0.11
1237,-0.11
1238,-0.11
1239,-0.11
1240,-0.11
1241,-0.11
1242,-0.11
1243,-0.11
1244,-0.11
1245,-0.11
1246,-0.11
1247,-0.11
1248,-0.11
1249,-0.11
1250,-0.11
1251,-0.11
1252,-0.11
1253,-0.11
1254,-0.11
1255,-0.11
1256,-0.11
1257,-0.11
1258,-0.11
1259,-0.11
1260,-0.11
1261,-0.11
1262,-0.11
1263,-0.11
1264,-0.11
1265,-0.11
1266,-0.11
1267,-0.11
1268,-0.11
1269,-0.11
1270,-0.11
1271,-0.11
1272,-0.11
1273,-0.11
1274,-0.11
1275,-0.11
1276,-0.11
1277,-0.11
1278,-0.11
1279,-0.11
1280,-0.11
1281,-0.11
1282,-0.11
1283,-0.11
1284,-0.11
1285,-0.11
1286,-0.11
1287,-0.11
1288,-0.11
1289,-0.11
1290,-0.11
1291,-0.11
1292,-0.11
1293,-0.11
1294,-0.11
1295,-0.11
1296,-0.11
1297,-0.11
1298,-0.11
1299,-0.11
1300,-0.11
